Gene	Cell Type
CDC42EP5	Enterocytes
DEFA24	Enterocytes
CASP6	Enterocytes
HNF4A	Enterocytes
AQP1	Enterocytes
TMEM45B	Enterocytes
RGMB	Enterocytes
PDHA1	Enterocytes
CDO1	Enterocytes
ELF3	Enterocytes
KRTCAP3	Enterocytes
DEGS2	Enterocytes
TMC4	Enterocytes
PRSS32	Enterocytes
PPP1R14D	Enterocytes
TM4SF5	Enterocytes
RNF186	Enterocytes
CEACAM1	Enterocytes
KLF5	Enterocytes
CDX1	Enterocytes
CDX2	Enterocytes
CLDN15	Enterocytes
ASCL2	Enterocytes
SMOC2	Enterocytes
PRR15L	Enterocytes
FBP2	Enterocytes
SDSL	Enterocytes
GKN3	Enterocytes
FERMT1	Enterocytes
ALDOB	Enterocytes
MUC13	Enterocytes
PHGR1	Enterocytes
PRAP1	Enterocytes
CCL25	Enterocytes
LGALS2	Enterocytes
SPON2	Enterocytes
ASPN	Enterocytes
CTRB1	Enterocytes
CD55	Enterocytes
CDH19	Enterocytes
SLC35F1	Enterocytes
G0S2	Enterocytes
GULP1	Enterocytes
NKD2	Enterocytes
COL18A1	Enterocytes
SOX10	Enterocytes
COL20A1	Enterocytes
PMEPA1	Enterocytes
GFRA2	Enterocytes
ART3	Enterocytes
SLC26A2	Enterocytes
CAR1	Enterocytes
TRY4	Enterocytes
TRY5	Enterocytes
PRSS2	Enterocytes
L1CAM	Enterocytes
SLC11A2	Enterocytes
SLC26A3	Enterocytes
APOA1	Enterocytes
APOA4	Enterocytes
CBR1	Enterocytes
EPHX2	Enterocytes
GSTM3	Enterocytes
ADH6A	Enterocytes
CREB3L3	Enterocytes
MEP1A	Enterocytes
FGF15	Enterocytes
MUC3	Enterocytes
CLEC2H	Enterocytes
FABP6	Enterocytes
RBP2	Enterocytes
APOB	Enterocytes
MTTP	Enterocytes
SLC2A2	Enterocytes
APOC3	Enterocytes
CD36	Enterocytes
REG3A	Enterocytes
ISX	Enterocytes
S100G	Enterocytes
SLC28A1	Enterocytes
SLC28A2	Enterocytes
SLC30A10	Enterocytes
SLC51B	Enterocytes
VNN1	Enterocytes
SLC23A1	Enterocytes
TREH	Enterocytes
ABCC2	Enterocytes
ABCG5	Enterocytes
DMBT1	Enterocytes
ABCG8	Enterocytes
PLIN2	Enterocytes
GSTA1	Enterocytes
CYBRD1	Enterocytes
ABCG2	Enterocytes
NR1H4	Enterocytes
DAB1	Enterocytes
TM6SF2	Enterocytes
NR5A2	Enterocytes
PDZK1	Enterocytes
ACSL5	Enterocytes
AQP11	Enterocytes
AQP7	Enterocytes
AQP8	Enterocytes
HMOX1	Enterocytes
SLC39A5	Enterocytes
SLC51A	Enterocytes
TRPM6	Enterocytes
MOGAT2	Enterocytes
GLS	Enterocytes
MAOA	Enterocytes
DGAT1	Enterocytes
DGAT2	Enterocytes
NPSR1	Enteroendocrine cells
FFAR3	Enteroendocrine cells
SCN3A	Enteroendocrine cells
NEUROG3	Enteroendocrine cells
FFAR1	Enteroendocrine cells
ARX	Enteroendocrine cells
NKX2-2	Enteroendocrine cells
SCT	Enteroendocrine cells
CCK	Enteroendocrine cells
GFRA3	Enteroendocrine cells
VWA5B2	Enteroendocrine cells
NEUROD1	Enteroendocrine cells
SCGN	Enteroendocrine cells
PCSK1	Enteroendocrine cells
ISL1	Enteroendocrine cells
FABP5	Enteroendocrine cells
TAC1	Enteroendocrine cells
RIMBP2	Enteroendocrine cells
PAX6	Enteroendocrine cells
GIP	Enteroendocrine cells
GLP1R	Enteroendocrine cells
PYY	Enteroendocrine cells
GLP2R	Enteroendocrine cells
GAST	Enteroendocrine cells
NTS	Enteroendocrine cells
SST	Enteroendocrine cells
GPR119	Enteroendocrine cells
GCG	Enteroendocrine cells
CHGB	Enteroendocrine cells
CPE	Enteroendocrine cells
GAL	Enteroendocrine cells
NUCB2	Enteroendocrine cells
IAPP	Enteroendocrine cells
GHRL	Enteroendocrine cells
CHGA	Enteroendocrine cells
TRPA1	Enteroendocrine cells
ENPP2	Enteroendocrine cells
AFP	Enteroendocrine cells
VEGFA	Enteroendocrine cells
FFAR4	Enteroendocrine cells
MC4R	Enteroendocrine cells
INSL5	Enteroendocrine cells
SSTR2	Enteroendocrine cells
ALCAM	Enteroendocrine cells
TAS1R2	Enteroendocrine cells
TAS1R3	Enteroendocrine cells
GNAT3	Enteroendocrine cells
C3AR1	Eosinophils
FUT4	Eosinophils
C5AR1	Eosinophils
CXCR3	Eosinophils
CCR1	Eosinophils
CCR3	Eosinophils
CD244	Eosinophils
PTGDR2	Eosinophils
S100A9	Eosinophils
PGLYRP1	Eosinophils
LTC4S	Eosinophils
EAR1	Eosinophils
EAR2	Eosinophils
EPX	Eosinophils
CD69	Eosinophils
IL5	Eosinophils
PRG2	Eosinophils
PRG3	Eosinophils
CPA3	Eosinophils
IKZF2	Eosinophils
CCL11	Eosinophils
CCL5	Eosinophils
CSF2	Eosinophils
IL5RA	Eosinophils
SIGLECF	Eosinophils
FOXJ1	Ependymal cells
TRIM71	Ependymal cells
SIX3	Ependymal cells
USP18	Ependymal cells
CETN4	Ependymal cells
AQP4	Ependymal cells
CELSR2	Ependymal cells
AQP1	Ependymal cells
GFAP	Ependymal cells
ENKUR	Ependymal cells
FAM216B	Ependymal cells
KRT15	Ependymal cells
CATIP	Ependymal cells
DNAH12	Ependymal cells
FAM166B	Ependymal cells
IQCG	Ependymal cells
SPEF2	Ependymal cells
RABL2	Ependymal cells
MYO16	Ependymal cells
ODF3B	Ependymal cells
PLXNB2	Ependymal cells
TEKT1	Ependymal cells
CHEK2	Ependymal cells
CROCC	Ependymal cells
NME9	Ependymal cells
CFAP126	Ependymal cells
MEIG1	Ependymal cells
HSPA2	Ependymal cells
CFAP65	Ependymal cells
LRRC23	Ependymal cells
TEKT4	Ependymal cells
CALML4	Ependymal cells
PIFO	Ependymal cells
CRYGN	Ependymal cells
HDC	Ependymal cells
FAM183B	Ependymal cells
PCP4L1	Ependymal cells
DYNLRB2	Ependymal cells
TMEM107	Ependymal cells
RIIAD1	Ependymal cells
TMEM212	Ependymal cells
RSPH1	Ependymal cells
CCDC153	Ependymal cells
S100B	Ependymal cells
AK7	Ependymal cells
RARRES2	Ependymal cells
PVALB	Ependymal cells
ANGPTL2	Ependymal cells
CFAP54	Ependymal cells
STOML3	Ependymal cells
PLTP	Ependymal cells
SSPO	Ependymal cells
EFNB3	Ependymal cells
MYB	Ependymal cells
RFX2	Ependymal cells
ZMYND10	Ependymal cells
AK8	Ependymal cells
CFAP44	Ependymal cells
TM4SF1	Ependymal cells
NANOG	Epiblast cells
POU5F1	Epiblast cells
ERAS	Epiblast cells
CDH1	Epiblast cells
EPCAM	Epiblast cells
CLDN6	Epiblast cells
CLDN7	Epiblast cells
FGF15	Epiblast cells
SLC35D3	Epiblast cells
TDGF1	Epiblast cells
CXCL12	Epiblast cells
SOX11	Epiblast cells
LEF1	Epiblast cells
CRMP1	Epiblast cells
DPYSL5	Epiblast cells
BCL11A	Epiblast cells
INA	Epiblast cells
MFAP2	Epiblast cells
CEACAM1	Epithelial cells
ST6GAL1	Epithelial cells
ITGB4	Epithelial cells
IL1R1	Epithelial cells
PROM1	Epithelial cells
CDH1	Epithelial cells
KRT1	Epithelial cells
KRT7	Epithelial cells
MUC1	Epithelial cells
ICAM1	Epithelial cells
KRT14	Epithelial cells
KRT5	Epithelial cells
ITGAL	Epithelial cells
CD2	Epithelial cells
ITGA5	Epithelial cells
ITGA4	Epithelial cells
ITGA2	Epithelial cells
KRT16	Epithelial cells
SCNN1A	Epithelial cells
KRT15	Epithelial cells
ITGA1	Epithelial cells
KRT2	Epithelial cells
SCNN1B	Epithelial cells
SCNN1G	Epithelial cells
BOK	Epithelial cells
NKD1	Epithelial cells
FZD6	Epithelial cells
DKK3	Epithelial cells
NRP2	Epithelial cells
KAP	Epithelial cells
SFRP5	Epithelial cells
RAI14	Epithelial cells
DEFB1	Epithelial cells
KLK1	Epithelial cells
AGR2	Epithelial cells
APOA1	Epithelial cells
GPA33	Epithelial cells
ANPEP	Epithelial cells
CRYBA1	Epithelial cells
BMI1	Epithelial cells
BRCA1	Epithelial cells
MUC16	Epithelial cells
CEACAM5	Epithelial cells
CTSE	Epithelial cells
SCGB1A1	Epithelial cells
EXO1	Epithelial cells
FOXA1	Epithelial cells
GABRP	Epithelial cells
GGT1	Epithelial cells
SFN	Epithelial cells
KRT13	Epithelial cells
LTF	Epithelial cells
SLC46A2	Epithelial cells
KLK10	Epithelial cells
P2RX7	Epithelial cells
CDKN2A	Epithelial cells
CDH3	Epithelial cells
PSCA	Epithelial cells
AGER	Epithelial cells
ZFP42	Epithelial cells
SPRR1B	Epithelial cells
TTR	Epithelial cells
TM4SF20	Epithelial cells
TSTD1	Epithelial cells
SYCN	Epithelial cells
HBEGF	Epithelial cells
PIGR	Epithelial cells
PRSS32	Epithelial cells
MUC13	Epithelial cells
SELENBP1	Epithelial cells
ELF3	Epithelial cells
MUC3	Epithelial cells
OIT1	Epithelial cells
TSPAN1	Epithelial cells
GUCA2A	Epithelial cells
PHGR1	Epithelial cells
LYPD8	Epithelial cells
LGALS4	Epithelial cells
GATA2	Epithelial cells
SEC23B	Epithelial cells
TSPAN8	Epithelial cells
DLX5	Epithelial cells
DGAT2	Epithelial cells
ITPR2	Epithelial cells
THRSP	Epithelial cells
PLA2G4A	Epithelial cells
SLC25A48	Epithelial cells
PGR	Epithelial cells
ZFP322A	Epithelial cells
FERMT1	Epithelial cells
ZFP704	Epithelial cells
EHF	Epithelial cells
PLEKHS1	Epithelial cells
CDKL1	Epithelial cells
MECOM	Epithelial cells
MSX1	Epithelial cells
RNF128	Epithelial cells
ANLN	Epithelial cells
CKAP2	Epithelial cells
HMMR	Epithelial cells
KIF15	Epithelial cells
CKAP2L	Epithelial cells
KIF20B	Epithelial cells
HIRIP3	Epithelial cells
INCENP	Epithelial cells
KIF23	Epithelial cells
PRC1	Epithelial cells
ECT2	Epithelial cells
CXCL10	Epithelial cells
CCL20	Epithelial cells
CXCL17	Epithelial cells
PRG4	Epithelial cells
ALOX15	Epithelial cells
F5	Epithelial cells
EMILIN2	Epithelial cells
SAA3	Epithelial cells
SPRR2A1	Epithelial cells
SPTSSB	Epithelial cells
FMO5	Epithelial cells
IVL	Epithelial cells
VSIG2	Epithelial cells
AQP3	Epithelial cells
PAQR5	Epithelial cells
EPCAM	Epithelial cells
CLDN1	Epithelial cells
OCLN	Epithelial cells
MUC5AC	Epithelial cells
GHRL	Epsilon cells
ANXA13	Epsilon cells
PHGR1	Epsilon cells
BMP4	Epsilon cells
HMGCS2	Epsilon cells
TM4SF5	Epsilon cells
OLFML3	Epsilon cells
ASGR1	Epsilon cells
COX6A2	Epsilon cells
NPY1R	Epsilon cells
SLC7A9	Epsilon cells
GRAMD2	Epsilon cells
BHMT	Epsilon cells
OPRK1	Epsilon cells
PTGER4	Epsilon cells
ITGA4	Epsilon cells
EYA4	Epsilon cells
XYLB	Epsilon cells
ELOVL2	Epsilon cells
AFF3	Epsilon cells
CORIN	Epsilon cells
MYO1A	Epsilon cells
HRH2	Epsilon cells
CALCR	Epsilon cells
SLC6A16	Epsilon cells
PCSK6	Epsilon cells
ADAMTS6	Epsilon cells
COL22A1	Epsilon cells
FAM124A	Epsilon cells
COL12A1	Epsilon cells
CD109	Epsilon cells
THSD4	Epsilon cells
ARX	Epsilon cells
NKX2-2	Epsilon cells
ACSL1	Epsilon cells
FRZB	Epsilon cells
MS4A8A	Epsilon cells
VTN	Epsilon cells
APOH	Epsilon cells
SPINK1	Epsilon cells
VSTM2L	Epsilon cells
SPTSSB	Epsilon cells
S100A6	Epsilon cells
KRT8	Epsilon cells
CGA	Erythroblasts
TFRC	Erythroblasts
CDH1	Erythroblasts
WRN	Erythroblasts
CD44	Erythroblasts
KLF1	Erythroblasts
BCL11A	Erythroblasts
BPGM	Erythroblasts
ETS1	Erythroblasts
EPOR	Erythroblasts
IGBP1	Erythroblasts
TFR2	Erythroblasts
GYPA	Erythroblasts
LMNB1	Erythroblasts
LRP8	Erythroblasts
GRSF1	Erythroblasts
USE1	Erythroblasts
ITGB1	Erythroblasts
CFP	Erythroblasts
ENG	Erythroblasts
KIT	Erythroblasts
LMO2	Erythroblasts
GATA1	Erythroblasts
TAL1	Erythroblasts
PIEZO1	Erythroblasts
HBB-BS	Erythroid-like and erythroid precursor cells
ALAS2	Erythroid-like and erythroid precursor cells
HEXA	Erythroid-like and erythroid precursor cells
AQP1	Erythroid-like and erythroid precursor cells
CCNA2	Erythroid-like and erythroid precursor cells
PKLR	Erythroid-like and erythroid precursor cells
LOX	Erythroid-like and erythroid precursor cells
ARG1	Erythroid-like and erythroid precursor cells
CEACAM1	Erythroid-like and erythroid precursor cells
CD36	Erythroid-like and erythroid precursor cells
GYPA	Erythroid-like and erythroid precursor cells
THBS1	Erythroid-like and erythroid precursor cells
ITGA4	Erythroid-like and erythroid precursor cells
FECH	Erythroid-like and erythroid precursor cells
EPOR	Erythroid-like and erythroid precursor cells
KIT	Erythroid-like and erythroid precursor cells
BPGM	Erythroid-like and erythroid precursor cells
DCAF12	Erythroid-like and erythroid precursor cells
HEMGN	Erythroid-like and erythroid precursor cells
HMBS	Erythroid-like and erythroid precursor cells
NCOA4	Erythroid-like and erythroid precursor cells
RBM38	Erythroid-like and erythroid precursor cells
UCP2	Erythroid-like and erythroid precursor cells
UBB	Erythroid-like and erythroid precursor cells
TMCC2	Erythroid-like and erythroid precursor cells
SLC4A1	Erythroid-like and erythroid precursor cells
SLC25A39	Erythroid-like and erythroid precursor cells
SLC25A37	Erythroid-like and erythroid precursor cells
FOSB	Erythroid-like and erythroid precursor cells
GH	Erythroid-like and erythroid precursor cells
HTATSF1	Erythroid-like and erythroid precursor cells
EPB41	Erythroid-like and erythroid precursor cells
RSAD2	Erythroid-like and erythroid precursor cells
CAR1	Erythroid-like and erythroid precursor cells
COX6B2	Erythroid-like and erythroid precursor cells
APOA1	Erythroid-like and erythroid precursor cells
ASNS	Erythroid-like and erythroid precursor cells
HIST1H2AO	Erythroid-like and erythroid precursor cells
STFA1	Erythroid-like and erythroid precursor cells
ALAD	Erythroid-like and erythroid precursor cells
S100A9	Erythroid-like and erythroid precursor cells
AHSG	Erythroid-like and erythroid precursor cells
S100A8	Erythroid-like and erythroid precursor cells
HBA-A2	Erythroid-like and erythroid precursor cells
HBB-BT	Erythroid-like and erythroid precursor cells
HBA-A1	Erythroid-like and erythroid precursor cells
ERMAP	Erythroid-like and erythroid precursor cells
KCNN4	Erythroid-like and erythroid precursor cells
PAN3	Erythroid-like and erythroid precursor cells
PFAS	Erythroid-like and erythroid precursor cells
VAMP5	Erythroid-like and erythroid precursor cells
HBB-BH1	Erythroid-like and erythroid precursor cells
HBA-X	Erythroid-like and erythroid precursor cells
PNPO	Erythroid-like and erythroid precursor cells
TSPO2	Erythroid-like and erythroid precursor cells
RHD	Erythroid-like and erythroid precursor cells
KLF1	Erythroid-like and erythroid precursor cells
CLDN13	Erythroid-like and erythroid precursor cells
TSPAN33	Erythroid-like and erythroid precursor cells
EPB42	Erythroid-like and erythroid precursor cells
CD44	Erythroid-like and erythroid precursor cells
CD47	Erythroid-like and erythroid precursor cells
CD55	Erythroid-like and erythroid precursor cells
CD59A	Erythroid-like and erythroid precursor cells
EDRF1	Erythroid-like and erythroid precursor cells
EPB41L2	Erythroid-like and erythroid precursor cells
GYPC	Erythroid-like and erythroid precursor cells
KEL	Erythroid-like and erythroid precursor cells
RHAG	Erythroid-like and erythroid precursor cells
THRB	Erythroid-like and erythroid precursor cells
UROD	Erythroid-like and erythroid precursor cells
UROS	Erythroid-like and erythroid precursor cells
SNCA	Erythroid-like and erythroid precursor cells
IL1R1	Fibroblasts
FAP	Fibroblasts
FLI1	Fibroblasts
CELA1	Fibroblasts
LOX	Fibroblasts
PDGFRB	Fibroblasts
P4HA1	Fibroblasts
UCP2	Fibroblasts
CCR2	Fibroblasts
MS4A4C	Fibroblasts
ITGAL	Fibroblasts
EAR2	Fibroblasts
FGR	Fibroblasts
HCK	Fibroblasts
ADGRE4	Fibroblasts
TNFRSF1B	Fibroblasts
PRKCD	Fibroblasts
ENO3	Fibroblasts
CD209A	Fibroblasts
ABI3	Fibroblasts
TREML4	Fibroblasts
LY6I	Fibroblasts
PIP4K2A	Fibroblasts
CD300E	Fibroblasts
SERPINB10	Fibroblasts
CTHRC1	Fibroblasts
TBX18	Fibroblasts
COL15A1	Fibroblasts
GJB2	Fibroblasts
IL34	Fibroblasts
EDN3	Fibroblasts
SLC6A13	Fibroblasts
VTN	Fibroblasts
ITIH5	Fibroblasts
LUM	Fibroblasts
DPT	Fibroblasts
POSTN	Fibroblasts
PENK	Fibroblasts
MMP14	Fibroblasts
COL6A2	Fibroblasts
FABP4	Fibroblasts
ASPN	Fibroblasts
ANGPTL2	Fibroblasts
EFEMP1	Fibroblasts
SCARA5	Fibroblasts
IGFBP3	Fibroblasts
COPZ2	Fibroblasts
DPEP1	Fibroblasts
ADAMTS5	Fibroblasts
COL5A1	Fibroblasts
CD248	Fibroblasts
PI16	Fibroblasts
PAMR1	Fibroblasts
TNXB	Fibroblasts
MMP2	Fibroblasts
COL14A1	Fibroblasts
CLEC3B	Fibroblasts
IGFBP6	Fibroblasts
AKR1C18	Fibroblasts
COL5A2	Fibroblasts
FBN1	Fibroblasts
MFAP5	Fibroblasts
FKBP10	Fibroblasts
PALLD	Fibroblasts
WIF1	Fibroblasts
SNHG18	Fibroblasts
CDH11	Fibroblasts
PTCH1	Fibroblasts
ARAP1	Fibroblasts
FBLN2	Fibroblasts
IGF1	Fibroblasts
PRRX1	Fibroblasts
FKBP7	Fibroblasts
OAF	Fibroblasts
COL6A3	Fibroblasts
CTSK	Fibroblasts
DKK1	Fibroblasts
RARRES2	Fibroblasts
GREM1	Fibroblasts
SPON2	Fibroblasts
TCF21	Fibroblasts
PCSK6	Fibroblasts
COL8A1	Fibroblasts
ENTPD2	Fibroblasts
MMP23	Fibroblasts
CXCL3	Fibroblasts
IL6	Fibroblasts
CYP1B1	Fibroblasts
COL13A1	Fibroblasts
ADAMTS10	Fibroblasts
CCL11	Fibroblasts
ADAM33	Fibroblasts
COL4A3	Fibroblasts
COL4A4	Fibroblasts
LAMA2	Fibroblasts
ACKR3	Fibroblasts
CD55	Fibroblasts
FBLN7	Fibroblasts
FIBIN	Fibroblasts
THBS2	Fibroblasts
NOV	Fibroblasts
PTX3	Fibroblasts
MMP3	Fibroblasts
LRRK1	Fibroblasts
HGF	Fibroblasts
FRZB	Fibroblasts
COL12A1	Fibroblasts
COL7A1	Fibroblasts
MEOX1	Fibroblasts
PRG4	Fibroblasts
PKD2	Fibroblasts
CCL19	Fibroblasts
NNMT	Fibroblasts
FOXF1	Fibroblasts
HAS1	Fibroblasts
CTGF	Fibroblasts
ERCC1	Fibroblasts
WISP1	Fibroblasts
TWIST2	Fibroblasts
RIPK3	Fibroblasts
DDR2	Fibroblasts
ELN	Fibroblasts
FN1	Fibroblasts
HHIP	Fibroblasts
FMO2	Fibroblasts
COL1A2	Fibroblasts
COL3A1	Fibroblasts
VIM	Fibroblasts
FSTL1	Fibroblasts
GSN	Fibroblasts
SPARC	Fibroblasts
S100A4	Fibroblasts
NT5E	Fibroblasts
COL1A1	Fibroblasts
MGP	Fibroblasts
NOX4	Fibroblasts
THY1	Fibroblasts
CD40	Fibroblasts
SERPINH1	Fibroblasts
CD44	Fibroblasts
PDGFRA	Fibroblasts
EN1	Fibroblasts
DCN	Fibroblasts
CEBPB	Fibroblasts
EGR1	Fibroblasts
FOSB	Fibroblasts
FOSL2	Fibroblasts
HIF1A	Fibroblasts
KLF2	Fibroblasts
KLF4	Fibroblasts
KLF6	Fibroblasts
KLF9	Fibroblasts
NFAT5	Fibroblasts
NFATC1	Fibroblasts
NFKB1	Fibroblasts
NR4A1	Fibroblasts
NR4A2	Fibroblasts
PBX1	Fibroblasts
RUNX1	Fibroblasts
STAT3	Fibroblasts
TCF4	Fibroblasts
ZEB2	Fibroblasts
LAMC1	Fibroblasts
MEDAG	Fibroblasts
MS4A4D	Fibroblasts
LAMB1	Fibroblasts
DKK3	Fibroblasts
TBX20	Fibroblasts
MDK	Fibroblasts
GSTM5	Fibroblasts
NGF	Fibroblasts
VEGFA	Fibroblasts
FGF2	Fibroblasts
P4HTM	Fibroblasts
CKAP4	Fibroblasts
INMT	Fibroblasts
CXCL14	Fibroblasts
TTF1	Follicular cells
SLC6A4	Follicular cells
KCNIP3	Follicular cells
TSHR	Follicular cells
TG	Follicular cells
IYD	Follicular cells
ASGR1	Follicular cells
PRLR	Follicular cells
TPO	Follicular cells
DIO1	Follicular cells
SLC26A7	Follicular cells
CDH16	Follicular cells
SLC16A11	Follicular cells
FOXE1	Follicular cells
MUC1	Foveolar cells
ANXA10	Foveolar cells
MUC5AC	Foveolar cells
TFF1	Foveolar cells
FOXQ1	Foveolar cells
SULT1C2	Foveolar cells
PTGR1	Foveolar cells
GSDMA2	Foveolar cells
PLA2G1B	Foveolar cells
CLPS	Foveolar cells
GSTA1	Foveolar cells
PGC	Foveolar cells
SPRR2A1	Foveolar cells
TFF2	Foveolar cells
LGALS2	Foveolar cells
PSCA	Foveolar cells
SPRR2A3	Foveolar cells
GKN2	Foveolar cells
GKN1	Foveolar cells
CLDN18	Foveolar cells
KRT20	Foveolar cells
LGALS4	Foveolar cells
AKR1B10	Foveolar cells
IL33	Foveolar cells
SLC6A1	GABAergic neurons
GABBR2	GABAergic neurons
GAD1	GABAergic neurons
GADD45B	GABAergic neurons
PAX2	GABAergic neurons
SLC32A1	GABAergic neurons
GAD2	GABAergic neurons
VIP	GABAergic neurons
SST	GABAergic neurons
PVALB	GABAergic neurons
TNFAIP8L3	GABAergic neurons
SEMA3C	GABAergic neurons
MYBPC1	GABAergic neurons
PARM1	GABAergic neurons
DLX1	GABAergic neurons
PPY	Gamma (PP) cells
SCGN	Gamma (PP) cells
FXYD2	Gamma (PP) cells
CMTM8	Gamma (PP) cells
ARX	Gamma (PP) cells
ETV1	Gamma (PP) cells
PXK	Gamma (PP) cells
SERTM1	Gamma (PP) cells
SLITRK6	Gamma (PP) cells
SEMA3E	Gamma (PP) cells
APOBEC2	Gamma (PP) cells
ABCC9	Gamma (PP) cells
NEUROD1	Gamma (PP) cells
PAX6	Gamma (PP) cells
ISL1	Gamma (PP) cells
CARTPT	Gamma (PP) cells
THSD7A	Gamma (PP) cells
AQP3	Gamma (PP) cells
ENTPD2	Gamma (PP) cells
PTGFR	Gamma (PP) cells
CHN2	Gamma (PP) cells
EGR3	Gamma (PP) cells
LMO3	Gamma (PP) cells
MEIS1	Gamma (PP) cells
FGB	Gamma (PP) cells
PTGDS	Gamma delta T cells
GZMB	Gamma delta T cells
S100B	Gamma delta T cells
NKG7	Gamma delta T cells
PRF1	Gamma delta T cells
HOPX	Gamma delta T cells
CST7	Gamma delta T cells
KLRD1	Gamma delta T cells
CTSW	Gamma delta T cells
SPON2	Gamma delta T cells
IFITM1	Gamma delta T cells
GZMA	Gamma delta T cells
CD247	Gamma delta T cells
CLIC3	Gamma delta T cells
CD7	Gamma delta T cells
ADGRG1	Gamma delta T cells
CCL5	Gamma delta T cells
TRDC	Gamma delta T cells
STMN1	Gamma delta T cells
HMGB2	Gamma delta T cells
TYMS	Gamma delta T cells
MKI67	Gamma delta T cells
UBE2C	Gamma delta T cells
TUBA1B	Gamma delta T cells
ASPM	Gamma delta T cells
CENPA	Gamma delta T cells
TOP2A	Gamma delta T cells
PCNA	Gamma delta T cells
AURKB	Gamma delta T cells
BIRC5	Gamma delta T cells
NUSAP1	Gamma delta T cells
TROAP	Gamma delta T cells
H2AFX	Gamma delta T cells
CENPF	Gamma delta T cells
CCNB1	Gamma delta T cells
H2AFZ	Gamma delta T cells
TRGV2	Gamma delta T cells
TRGJ1	Gamma delta T cells
TRGJ2	Gamma delta T cells
TRDD1	Gamma delta T cells
TRDD2	Gamma delta T cells
TRDJ1	Gamma delta T cells
TRDJ2	Gamma delta T cells
TRDV1	Gamma delta T cells
TRDV3	Gamma delta T cells
ANPEP	Gastric chief cells
BHLHA15	Gastric chief cells
RAB3D	Gastric chief cells
LEP	Gastric chief cells
LGR5	Gastric chief cells
KCNQ1	Gastric chief cells
EGFR	Gastric chief cells
PRKCZ	Gastric chief cells
CHRM3	Gastric chief cells
EGFR	Germ cells
POU5F1	Germ cells
TFAP2C	Germ cells
DAZL	Germ cells
MAGEA4	Germ cells
DDX4	Germ cells
ZAR1	Germ cells
TEX101	Germ cells
PRM1	Germ cells
TNP2	Germ cells
FABP9	Germ cells
ODF2	Germ cells
CRISP2	Germ cells
TCP11	Germ cells
GGNBP1	Germ cells
PHF7	Germ cells
CREB5	Germ cells
CETN4	Germ cells
SLFNL1	Germ cells
COX7B2	Germ cells
KIF2B	Germ cells
CCDC30	Germ cells
LRRC57	Germ cells
FAM209	Germ cells
BCL2L14	Germ cells
AQP11	Germ cells
ADAM3	Germ cells
TEX35	Germ cells
SPINK2	Germ cells
TSSK3	Germ cells
CREB3L4	Germ cells
TSACC	Germ cells
SPATA46	Germ cells
TSGA8	Germ cells
TEKT1	Germ cells
MORN5	Germ cells
TMCO5	Germ cells
OTUB2	Germ cells
TSSK1	Germ cells
TSKS	Germ cells
PRDX6B	Germ cells
H2AFB1	Germ cells
ATL3	Germ cells
DMRTB1	Germ cells
WBSCR25	Germ cells
TMCO2	Germ cells
TUBA3A	Germ cells
FHL5	Germ cells
MS4A5	Germ cells
CST8	Germ cells
TMEM247	Germ cells
GALNTL5	Germ cells
OSBP2	Germ cells
MARCH11	Germ cells
TEX33	Germ cells
SPATA20	Germ cells
TUBA3B	Germ cells
CDRT4	Germ cells
SPATA18	Germ cells
LRRC18	Germ cells
SCP2D1	Germ cells
IQCF1	Germ cells
PGK2	Germ cells
TULP2	Germ cells
CMTM2A	Germ cells
CCDC54	Germ cells
AKAP4	Germ cells
GTSF1	Germ cells
PPP3R2	Germ cells
TPPP2	Germ cells
GSTT4	Germ cells
LELP1	Germ cells
NUPR1L	Germ cells
SPERT	Germ cells
CMTM2B	Germ cells
CATSPERZ	Germ cells
MAEL	Germ cells
PGAM2	Germ cells
TMEM53	Germ cells
ACTRT2	Germ cells
ROPN1	Germ cells
RNF151	Germ cells
IQCF3	Germ cells
CABS1	Germ cells
CCDC91	Germ cells
SPATA3	Germ cells
LRRC46	Germ cells
PDCL2	Germ cells
H1FNT	Germ cells
TSSK6	Germ cells
COX8C	Germ cells
CETN1	Germ cells
SPATA19	Germ cells
TSSK2	Germ cells
ZNRF4	Germ cells
CYPT4	Germ cells
SPATA24	Germ cells
SPATA4	Germ cells
FAM71E1	Germ cells
FAM229A	Germ cells
CYPT12	Germ cells
HILS1	Germ cells
HRASLS5	Germ cells
GAPDHS	Germ cells
FHL4	Germ cells
HSPB9	Germ cells
SPATA33	Germ cells
SPZ1	Germ cells
IRGC1	Germ cells
PRM3	Germ cells
RBAKDN	Germ cells
DNAJB3	Germ cells
HMGB4	Germ cells
ROPN1L	Germ cells
GSG1	Germ cells
DBIL5	Germ cells
TNP1	Germ cells
SMCP	Germ cells
LDHC	Germ cells
PRM2	Germ cells
DNAAF1	Germ cells
ACYP1	Germ cells
SORD	Germ cells
DKKL1	Germ cells
RSPH1	Germ cells
COX6B2	Germ cells
MLF1	Germ cells
SMIM24	Germ cells
SPA17	Germ cells
MEIG1	Germ cells
FKBP6	Germ cells
TAF7L	Germ cells
TEX19.1	Germ cells
SYCP1	Germ cells
SOHLH1	Germ cells
SLC25A31	Germ cells
PHF13	Germ cells
EGR4	Germ cells
SMC1B	Germ cells
TEX15	Germ cells
MOV10L1	Germ cells
TRAP1A	Germ cells
